Version,Marketing name,Release date,API level,Runtime,Launched with,11,10,9,8.1,8.0,7.1,7.0,6.0,5.1,5.0,4.4,4.3,4.2,4.1,4.0,2.3
11,September 8, 2020,30,ART,Google Pixel 2, Pixel 2 XL, Pixel 3, Pixel 3 XL, Pixel 3a, Pixel 3a XL, Pixel 4, Pixel 4XL
10,September 3, 2019,29,ART,Pixel, Pixel XL, Pixel 2, Pixel 2 XL, Pixel 3, Pixel 3 XL, Pixel 3a, Pixel 3a XL
Pie,August 6, 2018,28,ART,Essential Phone, Pixel, Pixel XL, Pixel 2, Pixel 2 XL, Nokia 7 Plus, OnePlus 6, Oppo R15 Pro, Sony Xperia XZ2, Vivo X21UD, Vivo X21, Xiaomi Mi Mix 2S
Oreo,December 5, 2017,27,ART,Pixel, Pixel XL, Nexus 6P, Nex
August 21, 2017,26,AR
Nougat,October 4, 2016,25,ART,Pixel, Pix
August 22, 2016,24,ART,Nexus 5X, Nex
Marshmallow,October 5, 2015,2
Lollipop,March 9, 2015,22,ART,Androi
November 3, 2014,21,ART 2.1.0,Nexus 6, Ne
KitKat,October 31, 2013,19,Dalvik (and ART 1.6.0),Ne
Jelly Bean,July 24, 2013,18,Dalvik,Nexus 7
November 13, 2012,17,Dalvik,Nexus 4, Nex
July 9, 2012,16,Dalvik,Ne
Ice Cream Sandwich,October 19, 2011,15,Dalvik,Galaxy 
Gingerbread,February 9, 2011,10,Dalvik 1.4.0,Ne
